user_id,engagement_duration,preferred_time,click_duration,event_date,timestamp
user20,43.77,evening,8,09-04-2024,25:36.1
user20,38.84,night,15,08-09-2024,37:36.1
user20,36.9,evening,5,16-09-2024,45:36.1
user21,32.01,night,8,03-11-2024,25:36.1
user21,36.54,morning,10,30-04-2024,48:36.1
user21,40.32,night,2,24-10-2024,54:36.1
user22,30.41,night,2,14-05-2024,52:36.1
user22,46.69,evening,2,08-09-2024,08:36.1
user22,35.3,evening,10,02-02-2025,44:36.1
user22,40.84,afternoon,5,09-02-2025,39:36.1
user22,43.91,afternoon,15,01-08-2024,08:36.1
user23,41.53,evening,5,22-10-2024,27:36.1
user23,41.32,night,10,30-04-2024,37:36.1
user23,37.86,afternoon,2,30-10-2024,09:36.1
user23,41.98,afternoon,8,04-08-2024,57:36.1
user24,27.82,morning,5,13-12-2024,06:36.1
user24,32.8,night,15,27-03-2024,13:36.1
user25,36.4,afternoon,5,24-04-2024,54:36.1
user25,38.61,night,5,10-12-2024,17:36.1
user25,27.05,afternoon,2,17-09-2024,37:36.1
user25,38.45,evening,10,04-12-2024,28:36.1
user26,34.02,night,5,03-04-2024,22:36.1
user26,28.87,evening,5,27-03-2024,08:36.1
user26,44.57,afternoon,8,04-05-2024,23:36.1
user26,39.03,evening,8,28-01-2025,57:36.1
user26,30.54,afternoon,5,29-07-2024,32:36.1
user27,32.97,night,10,08-09-2024,17:36.1
user27,43.64,morning,5,09-02-2025,05:36.1
user28,27.92,night,10,28-04-2024,52:36.1
user28,44.79,night,10,22-11-2024,02:36.1
user28,37.72,afternoon,8,22-10-2024,08:36.1
user28,36.85,evening,10,08-09-2024,38:36.1
user28,31.39,morning,10,28-12-2024,19:36.1
user29,36.68,night,5,30-05-2024,07:36.1
user30,29.63,evening,5,17-09-2024,02:36.1
user31,40.76,night,8,05-02-2025,32:36.1
user31,38.84,morning,8,04-08-2024,20:36.1
user31,30.61,morning,2,18-03-2025,01:36.1
user32,39.21,afternoon,10,14-05-2024,03:36.1
user33,45.94,evening,8,07-06-2024,47:36.1
user33,35.58,evening,2,16-09-2024,09:36.1
user33,32.05,night,10,28-07-2024,21:36.1
user33,40.32,afternoon,2,16-11-2024,17:36.1
user33,45.04,morning,15,27-11-2024,33:36.1
user34,39.4,evening,2,17-04-2024,21:36.1
user34,46.15,night,10,05-03-2025,45:36.1
user34,32,night,5,22-10-2024,39:36.1
user34,35.79,night,10,22-10-2024,24:36.1
user34,39.65,afternoon,2,28-09-2024,50:36.1
user35,37.91,night,8,01-11-2024,04:36.1
user35,49.68,night,5,26-09-2024,37:36.1
user35,35.26,evening,15,16-11-2024,30:36.1
user35,41.16,morning,15,27-03-2024,54:36.1
user36,40.65,afternoon,10,06-04-2024,31:36.1
user36,36.92,morning,2,01-01-2025,25:36.1
user37,36.82,evening,10,08-09-2024,56:36.1
user37,34.53,evening,8,16-11-2024,39:36.1
user37,48.43,evening,5,02-02-2025,14:36.1
user37,35.38,morning,15,29-11-2024,56:36.1
user38,42.31,night,8,08-09-2024,08:36.1
user38,35.19,afternoon,8,24-05-2024,42:36.1
user39,44.73,afternoon,8,27-11-2024,54:36.1
user39,35.33,afternoon,10,05-03-2025,32:36.1
user40,34.53,night,10,31-01-2025,05:36.1
user41,36.15,morning,2,17-01-2025,10:36.1
user42,37.74,afternoon,15,01-12-2024,20:36.1
user43,45.82,night,15,13-09-2024,11:36.1
user43,43.44,night,10,04-05-2024,19:36.1
user44,43.02,morning,15,28-04-2024,57:36.1
user44,28.09,afternoon,8,13-02-2025,57:36.1
user44,38.58,afternoon,15,15-06-2024,24:36.1
user44,37.66,night,15,13-12-2024,28:36.1
user44,31.63,evening,8,16-11-2024,23:36.1
user45,46.67,afternoon,8,05-11-2024,26:36.1
user45,44.66,morning,15,04-08-2024,51:36.1
user45,39.06,afternoon,2,28-01-2025,27:36.1
user45,30.59,evening,10,02-02-2025,09:36.1
user46,36.46,night,10,05-02-2025,18:36.1
user46,41.63,evening,15,30-12-2024,23:36.1
user46,32.45,morning,8,30-04-2024,04:36.1
user47,29.83,night,8,23-04-2024,16:36.1
user47,38.16,night,2,13-12-2024,48:36.1
user48,28.16,morning,5,08-09-2024,22:36.1
user48,32.48,night,15,16-11-2024,55:36.1
user48,39.55,evening,8,06-03-2025,41:36.1
user48,36.21,morning,15,30-05-2024,24:36.1
user49,40.76,evening,15,09-06-2024,27:36.1
user50,46.22,evening,15,30-11-2024,23:36.1
user50,42.19,night,2,01-11-2024,56:36.1
user50,34.45,afternoon,8,08-09-2024,34:36.1
user50,28.23,afternoon,2,30-05-2024,03:36.1
user51,41.48,evening,15,28-12-2024,37:36.1
user52,39.3,afternoon,10,08-09-2024,26:36.1
user52,37.16,afternoon,2,28-09-2024,37:36.1
user52,33.31,evening,2,30-10-2024,19:36.1
user52,47.58,night,5,09-05-2024,34:36.1
user53,39.98,night,10,02-02-2025,40:36.1
user53,31.86,afternoon,15,29-07-2024,41:36.1
user53,41.96,evening,10,28-12-2024,59:36.1
user53,35.5,afternoon,10,16-11-2024,10:36.1
user54,41.89,night,2,09-02-2025,52:36.1
user54,33.06,afternoon,10,24-04-2024,20:36.1
user54,32.77,evening,8,12-04-2024,37:36.1
user54,33.66,morning,8,30-04-2024,59:36.1
user54,35.58,night,15,16-11-2024,06:36.1
user55,39.71,evening,5,03-04-2024,46:36.1
user56,45.28,morning,10,07-06-2024,42:36.1
user56,40.97,morning,8,28-01-2025,14:36.1
user56,42.87,night,5,18-03-2025,41:36.1
user56,39.52,afternoon,5,10-12-2024,47:36.1
user57,45.17,afternoon,10,16-09-2024,29:36.1
user57,43.19,evening,10,30-12-2024,45:36.1
user57,33.72,evening,15,08-03-2025,44:36.1
user57,36.18,evening,10,21-06-2024,21:36.1
user57,35.17,afternoon,10,26-03-2024,34:36.1
user58,42.93,evening,15,01-01-2025,22:36.1
user58,41.18,night,8,23-01-2025,06:36.1
user59,34.75,afternoon,15,26-09-2024,44:36.1
user60,39.86,afternoon,2,05-11-2024,46:36.1
user60,35.55,night,2,16-09-2024,23:36.1
user61,42.89,evening,10,10-12-2024,19:36.1
user61,33.15,evening,15,17-04-2024,11:36.1
user62,45.19,night,8,03-04-2024,55:36.1
user62,45.52,night,2,06-07-2024,53:36.1
user62,41.37,night,15,16-05-2024,04:36.1
user63,46.64,morning,10,06-11-2024,29:36.1
user63,44.09,night,8,05-03-2025,43:36.1
user63,44.16,morning,15,30-10-2024,08:36.1
user63,43.89,morning,10,16-11-2024,15:36.1
user64,32.65,morning,2,01-12-2024,29:36.1
user64,34.92,afternoon,15,22-11-2024,20:36.1
user64,35.25,night,15,03-04-2024,40:36.1
user64,35.68,morning,10,04-12-2024,25:36.1
user65,44.66,evening,5,04-05-2024,19:36.1
user65,45.5,morning,8,29-01-2025,54:36.1
user65,33.73,night,8,27-03-2024,24:36.1
user66,40.75,afternoon,15,09-03-2025,56:36.1
user67,41.42,afternoon,2,29-11-2024,58:36.1
user67,33.6,afternoon,5,08-09-2024,21:36.1
user67,44.46,morning,8,06-07-2024,57:36.1
user68,39.02,morning,2,30-11-2024,51:36.1
user68,34.98,evening,2,10-12-2024,33:36.1
user68,30.5,night,15,06-03-2025,17:36.1
user68,44.62,night,8,25-11-2024,26:36.1
user68,31.39,afternoon,15,27-11-2024,10:36.1
user69,35.76,morning,2,26-03-2024,53:36.1
user69,34.1,morning,10,28-07-2024,14:36.1
user69,44.61,morning,8,21-09-2024,42:36.1
user69,39.66,evening,15,27-03-2024,49:36.1
user69,36.85,evening,10,17-04-2024,52:36.1
user70,39.05,morning,15,08-09-2024,52:36.1
user70,41.32,night,5,09-09-2024,07:36.1
user70,33.24,night,2,28-01-2025,55:36.1
user70,36.89,evening,8,17-05-2024,42:36.1
user71,42.52,morning,2,22-10-2024,37:36.1
user71,29.36,morning,15,30-10-2024,43:36.1
user71,47.19,morning,10,26-09-2024,04:36.1
user71,41.67,morning,8,13-09-2024,30:36.1
user72,36.01,afternoon,5,13-02-2025,12:36.1
user72,31.5,evening,15,06-11-2024,27:36.1
user72,43.28,afternoon,10,30-10-2024,09:36.1
user73,41.89,evening,2,23-04-2024,12:36.1
user73,39.28,evening,2,23-04-2024,11:36.1
user73,41.52,night,2,06-07-2024,14:36.1
user73,31.03,afternoon,10,09-02-2025,37:36.1
user73,39.95,evening,8,08-09-2024,57:36.1
user74,40.55,afternoon,5,09-06-2024,54:36.1
user74,43.27,morning,8,04-05-2024,24:36.1
user74,33.69,night,10,17-08-2024,53:36.1
user74,34.31,night,2,30-10-2024,36:36.1
user74,45.35,evening,2,04-08-2024,18:36.1
user75,44.5,afternoon,8,29-11-2024,06:36.1
user75,39.18,evening,8,02-02-2025,41:36.1
user75,46.25,night,5,30-11-2024,22:36.1
user75,42.69,evening,2,20-06-2024,51:36.1
user75,37.38,morning,10,15-06-2024,54:36.1
user76,34.66,night,10,01-01-2025,17:36.1
user76,47.88,evening,5,12-04-2024,12:36.1
user76,26.46,night,2,18-03-2025,16:36.1
user77,39.16,morning,10,30-09-2024,58:36.1
user77,34.41,evening,5,15-06-2024,32:36.1
user77,34.92,afternoon,8,19-09-2024,33:36.1
user77,40.02,morning,5,30-12-2024,15:36.1
user77,37.82,afternoon,2,10-12-2024,54:36.1
user78,35.59,night,15,06-04-2024,52:36.1
user78,33.93,evening,5,04-05-2024,11:36.1
user78,38.5,evening,8,28-12-2024,06:36.1
user78,42.65,morning,8,30-05-2024,16:36.1
user79,30.52,evening,2,06-04-2024,25:36.1
user80,41.26,morning,10,30-04-2024,31:36.1
user81,36.29,night,15,17-05-2024,41:36.1
user81,34.04,morning,8,28-07-2024,52:36.1
user82,27.13,afternoon,10,04-05-2024,49:36.1
user82,28.33,evening,8,29-07-2024,01:36.1
user82,37.19,morning,8,09-04-2024,25:36.1
user82,39.09,night,8,30-12-2024,34:36.1
user82,43.17,morning,15,13-02-2025,12:36.1
user83,44.94,night,5,13-09-2024,55:36.1
user83,40.71,night,8,30-11-2024,25:36.1
user83,37.89,night,15,16-05-2024,15:36.1
user84,29.03,afternoon,8,05-04-2024,06:36.1
user84,44.81,afternoon,5,15-06-2024,32:36.1
user84,32.83,morning,8,05-04-2024,26:36.1
user85,35.42,afternoon,5,21-06-2024,04:36.1
user85,29.68,night,2,09-09-2024,02:36.1
user86,31.1,evening,10,24-05-2024,48:36.1
user86,34.4,night,5,06-11-2024,21:36.1
user87,37.28,evening,10,17-04-2024,58:36.1
user87,38.2,afternoon,15,22-11-2024,14:36.1
user87,47.6,night,8,08-09-2024,37:36.1
user87,35.97,morning,8,05-02-2025,44:36.1
user87,36.52,night,15,06-07-2024,00:36.1
user88,40.52,night,8,01-11-2024,05:36.1
user88,41.15,evening,5,29-07-2024,18:36.1
user88,31.48,morning,8,17-08-2024,58:36.1
user88,29.48,afternoon,2,30-10-2024,20:36.1
user89,41.79,night,10,04-12-2024,14:36.1
user89,33.48,evening,5,17-05-2024,16:36.1
user89,36.05,evening,5,01-12-2024,10:36.1
user89,38.48,night,15,17-09-2024,21:36.1
user90,40.46,morning,15,30-04-2024,31:36.1
user91,36.95,morning,15,26-09-2024,42:36.1
user91,30.41,morning,15,16-05-2024,14:36.1
user92,32.28,night,2,27-03-2024,05:36.1
user92,34.87,morning,8,09-04-2024,16:36.1
user92,36.32,morning,15,28-04-2024,27:36.1
user92,41.65,morning,8,29-01-2025,35:36.1
user92,37.63,night,10,05-11-2024,46:36.1
user93,27.17,night,2,01-01-2025,06:36.1
user93,27.14,morning,8,30-09-2024,37:36.1
user94,31.4,morning,5,30-10-2024,57:36.1
user94,35.49,evening,8,02-02-2025,38:36.1
user94,42.07,night,10,29-07-2024,28:36.1
user94,42.24,night,8,24-10-2024,54:36.1
user95,37.82,night,15,23-04-2024,27:36.1
user96,31.77,morning,8,13-02-2025,45:36.1
user96,34.79,night,5,21-06-2024,21:36.1
user96,40.74,morning,8,04-12-2024,27:36.1
user97,34.36,night,8,25-11-2024,53:36.1
user97,42.86,afternoon,15,30-04-2024,52:36.1
user97,30.1,afternoon,2,30-10-2024,56:36.1
user98,45.3,morning,15,17-05-2024,27:36.1
user98,32.58,evening,10,29-11-2024,05:36.1
user98,36.25,evening,10,28-01-2025,16:36.1
user99,32.53,morning,5,26-02-2025,59:36.1
user99,29.09,morning,8,06-10-2024,24:36.1
user99,31.19,evening,10,15-06-2024,44:36.1
user100,36.01,afternoon,10,23-05-2024,34:36.1
user100,34.96,evening,2,08-09-2024,10:36.1
